"","Type","Primary alcohol by volume","Served","Standard garnish","Standard drinkware","IBA specifiedingredients","Preparation","Timing","Commonly used ingredients","cocktailName","ingredientList"
"49","Cocktail",NA,"On the rocks; poured over ice",NA,"Cocktail Glass",NA,"Mix in pitcher with crushed ice, shake vigorously until a frothing head appears. Strain into cocktail glasses. Garnish with a slice of orange and a cherry. Serves 6.",NA,"5oz. pineapple juice","Bermuda Rum Swizzle","pineapple juice"
"50","Cocktail",NA,"On the rocks; poured over ice",NA,"Cocktail Glass",NA,"Mix in pitcher with crushed ice, shake vigorously until a frothing head appears. Strain into cocktail glasses. Garnish with a slice of orange and a cherry. Serves 6.",NA,"5oz orange juice","Bermuda Rum Swizzle","orange juice"
"51","Cocktail",NA,"On the rocks; poured over ice",NA,"Cocktail Glass",NA,"Mix in pitcher with crushed ice, shake vigorously until a frothing head appears. Strain into cocktail glasses. Garnish with a slice of orange and a cherry. Serves 6.",NA,"2oz. Bermuda falernum","Bermuda Rum Swizzle","bermuda falernum"
"52","Cocktail",NA,"On the rocks; poured over ice",NA,"Cocktail Glass",NA,"Mix in pitcher with crushed ice, shake vigorously until a frothing head appears. Strain into cocktail glasses. Garnish with a slice of orange and a cherry. Serves 6.",NA,"6 dashes Angostura Bitters","Bermuda Rum Swizzle","bitters"
"53","Cocktail","cognac","Straight up; without ice",NA,"Cocktail glass","3 cl white rum","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","rum"
"54","Cocktail","rum","Straight up; without ice",NA,"Cocktail glass","3 cl white rum","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","rum"
"55","Cocktail","triple sec","Straight up; without ice",NA,"Cocktail glass","3 cl white rum","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","rum"
"56","Cocktail","cognac","Straight up; without ice",NA,"Cocktail glass","3 cl cognac","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","cognac"
"57","Cocktail","rum","Straight up; without ice",NA,"Cocktail glass","3 cl cognac","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","cognac"
"58","Cocktail","triple sec","Straight up; without ice",NA,"Cocktail glass","3 cl cognac","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","cognac"
