"","Type","Primary alcohol by volume","Served","Standard garnish","Standard drinkware","IBA specifiedingredients","Preparation","Timing","Commonly used ingredients","cocktailName","ingredientList"
"349","Cocktail","vodka","On the rocks; poured over ice",NA,"Highball glass","1 dash of Coke","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","cola"
"350","Cocktail","rum","On the rocks; poured over ice",NA,"Highball glass","1 dash of Coke","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","cola"
"351","Cocktail","triple sec","On the rocks; poured over ice",NA,"Highball glass","1 dash of Coke","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","cola"
"352","Cocktail","gin","On the rocks; poured over ice",NA,"Cocktail glass",NA,"Stir with ice, strain into glass, and serve.",NA,"2 parts Gin","Lorraine","gin"
"353","Cocktail","gin","On the rocks; poured over ice",NA,"Cocktail glass",NA,"Stir with ice, strain into glass, and serve.",NA,"1 part Lillet","Lorraine","lillet"
"354","Cocktail","gin","On the rocks; poured over ice",NA,"Cocktail glass",NA,"Stir with ice, strain into glass, and serve.",NA,"1 part Grand Marnier","Lorraine","grand marnier"
"355","Cocktail","whiskey","On the rocks; poured over ice","Lemon wedge, maraschino cherry","Collins glass",NA,"Shake first 3 ingredients with ice and strain into ice-filled glass. Top with the lemonade or lemon-lime. Add ice and stir. Garnish with lemon slices and cherries.[1]",NA,"1+1/4 oz Jack Daniel's","Lynchburg Lemonade","jack daniels"
"356","Cocktail","whiskey","On the rocks; poured over ice","Lemon wedge, maraschino cherry","Collins glass",NA,"Shake first 3 ingredients with ice and strain into ice-filled glass. Top with the lemonade or lemon-lime. Add ice and stir. Garnish with lemon slices and cherries.[1]",NA,"3/4 oz triple sec","Lynchburg Lemonade","triple sec"
"357","Cocktail","whiskey","On the rocks; poured over ice","Lemon wedge, maraschino cherry","Collins glass",NA,"Shake first 3 ingredients with ice and strain into ice-filled glass. Top with the lemonade or lemon-lime. Add ice and stir. Garnish with lemon slices and cherries.[1]",NA,"2 oz sour mix","Lynchburg Lemonade","sour mix"
"358","Cocktail","whiskey","On the rocks; poured over ice","Lemon wedge, maraschino cherry","Collins glass",NA,"Shake first 3 ingredients with ice and strain into ice-filled glass. Top with the lemonade or lemon-lime. Add ice and stir. Garnish with lemon slices and cherries.[1]",NA,"lemon-lime","Lynchburg Lemonade","lemonlime"
"359","Cocktail","rum","On the rocks","lemon slice","Highball glass",NA,"Blend the ingredients with 1 cup of ice and serve well chilled. Garnish with an orange slice",NA,"2 parts white rum (preferably Flor de Caña)","Macuá","rum"
"360","Cocktail","rum","On the rocks","lemon slice","Highball glass",NA,"Blend the ingredients with 1 cup of ice and serve well chilled. Garnish with an orange slice",NA,"2 parts guava juice","Macuá","guava juice"
"361","Cocktail","rum","On the rocks","lemon slice","Highball glass",NA,"Blend the ingredients with 1 cup of ice and serve well chilled. Garnish with an orange slice",NA,"1 part lemon juice","Macuá","lemon juice"
"362","Cocktail","rum","On the rocks","lemon slice","Highball glass",NA,"Blend the ingredients with 1 cup of ice and serve well chilled. Garnish with an orange slice",NA,"sugar to taste","Macuá","sugar"
"363","Cocktail","rum","On the rocks; poured over ice","pineapple spear, mint leaves and lime shell","Old Fashioned glass","4 cl white rum","Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.",NA,NA,"Mai Tai","rum"
"364","Cocktail","rum","On the rocks; poured over ice","pineapple spear, mint leaves and lime shell","Old Fashioned glass","2 cl dark rum","Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.",NA,NA,"Mai Tai","rum"
"365","Cocktail","rum","On the rocks; poured over ice","pineapple spear, mint leaves and lime shell","Old Fashioned glass","1.5 cl orange curacao","Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.",NA,NA,"Mai Tai","orange curacao"
"366","Cocktail","rum","On the rocks; poured over ice","pineapple spear, mint leaves and lime shell","Old Fashioned glass","1.5 cl orgeat syrup","Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.",NA,NA,"Mai Tai","syrup"
"367","Cocktail","rum","On the rocks; poured over ice","pineapple spear, mint leaves and lime shell","Old Fashioned glass","1 cl fresh lime juice","Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.",NA,NA,"Mai Tai","lime juice"
"368","Cocktail","whiskey","Straight up; without ice","Maraschino cherry","Cocktail glass","5 cL Rye whiskey","Stirred over ice, strained into a chilled glass, garnished, and served up.","Before Dinner",NA,"Manhattan","whiskey"
"369","Cocktail","whiskey","Straight up; without ice","Maraschino cherry","Cocktail glass","2 cL Sweet red vermouth","Stirred over ice, strained into a chilled glass, garnished, and served up.","Before Dinner",NA,"Manhattan","vermouth"
"370","Cocktail","whiskey","Straight up; without ice","Maraschino cherry","Cocktail glass","Dash Angostura bitters","Stirred over ice, strained into a chilled glass, garnished, and served up.","Before Dinner",NA,"Manhattan","bitters"
"371","Cocktail","tequila","On the rocks; poured over ice","Salt on the rim","Margarita glass","3.5 cL (7 parts) tequila","Pour all ingredients into shaker with ice. Shake well and strain into cocktail glass rimmed with salt.","All Day",NA,"Margarita","tequila"
"372","Cocktail","tequila","On the rocks; poured over ice","Salt on the rim","Margarita glass","2 cL (4 parts) Cointreau","Pour all ingredients into shaker with ice. Shake well and strain into cocktail glass rimmed with salt.","All Day",NA,"Margarita","cointreau"
"373","Cocktail","tequila","On the rocks; poured over ice","Salt on the rim","Margarita glass","1.5 cL (3 parts) lime juice","Pour all ingredients into shaker with ice. Shake well and strain into cocktail glass rimmed with salt.","All Day",NA,"Margarita","lime juice"
"374","Cocktail","tequila","shaken","lime slice or twist","Cocktail glass",NA,"Mix the ingredients in a shaker half full of ice.  Strain and serve in a chilled cocktail glass or champagne flute.",NA,"1 to 1.5 parts silver or blanco tequila","Matador","silver  blanco tequila"
"375","Cocktail","tequila","shaken","lime slice or twist","Cocktail glass",NA,"Mix the ingredients in a shaker half full of ice.  Strain and serve in a chilled cocktail glass or champagne flute.",NA,"2 to 3 parts pineapple juice","Matador","pineapple juice"
"376","Cocktail","tequila","shaken","lime slice or twist","Cocktail glass",NA,"Mix the ingredients in a shaker half full of ice.  Strain and serve in a chilled cocktail glass or champagne flute.",NA,"Juice of half a lime","Matador","juice"
"377","Cocktail","whiskey","On the rocks; poured over ice","Mint sprig","Highball glass","6 cL Bourbon whiskey","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",NA,NA,"Mint julep","whiskey"
"378","Cocktail","whiskey","On the rocks; poured over ice","Mint sprig","Highball glass","4 mint leaves","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",NA,NA,"Mint julep","mint"
"379","Cocktail","whiskey","On the rocks; poured over ice","Mint sprig","Highball glass","1 teaspoon powdered sugar","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",NA,NA,"Mint julep","sugar"
"380","Cocktail","whiskey","On the rocks; poured over ice","Mint sprig","Highball glass","2 teaspoons water","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",NA,NA,"Mint julep",""
"381","Cocktail","whiskey","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"2 parts Bourbon whiskey","Missouri Mule","whiskey"
"382","Cocktail","campari","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"2 parts Bourbon whiskey","Missouri Mule","whiskey"
"383","Cocktail","whiskey","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"2 parts Applejack","Missouri Mule","applejack"
"384","Cocktail","campari","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"2 parts Applejack","Missouri Mule","applejack"
"385","Cocktail","whiskey","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"2 parts Lemon Juice","Missouri Mule","lemon juice"
"386","Cocktail","campari","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"2 parts Lemon Juice","Missouri Mule","lemon juice"
"387","Cocktail","whiskey","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Campari","Missouri Mule","campari"
"388","Cocktail","campari","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Campari","Missouri Mule","campari"
"389","Cocktail","whiskey","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Cointreau","Missouri Mule","cointreau"
"390","Cocktail","campari","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Cointreau","Missouri Mule","cointreau"
"391","Cocktail","rum","On the rocks; poured over ice","sprig of mint (Yerba buena in the original recipe), lemon slice","Collins glass","4 cl white rum","Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish with sprig of mint leaves and lemon slice. Serve with straw.",NA,NA,"Mojito","rum"
"392","Cocktail","rum","On the rocks; poured over ice","sprig of mint (Yerba buena in the original recipe), lemon slice","Collins glass","3 cl fresh lime juice","Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish with sprig of mint leaves and lemon slice. Serve with straw.",NA,NA,"Mojito","lime juice"
"393","Cocktail","rum","On the rocks; poured over ice","sprig of mint (Yerba buena in the original recipe), lemon slice","Collins glass","6 sprigs of mint","Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish with sprig of mint leaves and lemon slice. Serve with straw.",NA,NA,"Mojito","mint"
"394","Cocktail","rum","On the rocks; poured over ice","sprig of mint (Yerba buena in the original recipe), lemon slice","Collins glass","2 teaspoons sugar (or 2 cl of sugar syrup)","Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish with sprig of mint leaves and lemon slice. Serve with straw.",NA,NA,"Mojito","sugar"
"395","Cocktail","rum","On the rocks; poured over ice","sprig of mint (Yerba buena in the original recipe), lemon slice","Collins glass","soda water","Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish with sprig of mint leaves and lemon slice. Serve with straw.",NA,NA,"Mojito","soda"
"396","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake well, strain into wine glass and top up with champagne.",NA,"1 part fresh Grapefruit Juice","Moonwalk","grapefruit juice"
"397","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake well, strain into wine glass and top up with champagne.",NA,"1 part Grand Marnier","Moonwalk","grand marnier"
"398","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake well, strain into wine glass and top up with champagne.",NA,"2 dashes Rosewater","Moonwalk","rosewater"
"399","Mixed drink","vodka","On the rocks; poured over ice","Lime slice","copper mug","4.5 cl (9 parts) vodka","Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.",NA,NA,"Moscow mule","vodka"
"400","Mixed drink","vodka","On the rocks; poured over ice","Lime slice","copper mug","0.5 cl (1 part) lime juice","Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.",NA,NA,"Moscow mule","lime juice"
"401","Mixed drink","vodka","On the rocks; poured over ice","Lime slice","copper mug","12 cl (24 parts) ginger beer","Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.",NA,NA,"Moscow mule","gin"
"402","Mixed drink","vodka","On the rocks; poured over ice","Lime slice","copper mug","3 mint leaves","Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.",NA,NA,"Moscow mule","mint"
"403","Cocktail","gin","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Gin","My Fair Lady","gin"
"404","Cocktail","gin","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Lemon Juice","My Fair Lady","lemon juice"
"405","Cocktail","gin","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Orange juice","My Fair Lady","orange juice"
"406","Cocktail","gin","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Sirop de Fraise/Strawberry Syrup","My Fair Lady","syrup"
"407","Cocktail","gin","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 dash of egg white","My Fair Lady","egg white"
"408","Mixed drink","whiskey","On the rocks; poured over ice","a slice of fresh peach and a cherry","Cocktail glass",NA,"Stir and serve on the rocks, garnish.",NA,"1 part Bourbon whiskey","Nixon","whiskey"
"409","Mixed drink","whiskey","On the rocks; poured over ice","a slice of fresh peach and a cherry","Cocktail glass",NA,"Stir and serve on the rocks, garnish.",NA,"1 part Sloe Gin","Nixon","gin"
"410","Mixed drink","whiskey","On the rocks; poured over ice","a slice of fresh peach and a cherry","Cocktail glass",NA,"Stir and serve on the rocks, garnish.",NA,"2 dashes of peach bitters","Nixon","bitters"
"411","Cocktail","whiskey","On the rocks; poured over ice","Orange twist~~~cocktail cherry","Old Fashioned glass","4.5 cl Bourbon or Rye whiskey","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water.~~~Muddle until dissolved. ~~~Fill the glass with ice cubes and add whiskey. ~~~Garnish with orange twist, and a cocktail cherry.","Before dinner",NA,"Old Fashioned","whiskey"
"412","Cocktail","whiskey","On the rocks; poured over ice","Orange twist~~~cocktail cherry","Old Fashioned glass","2 dashes Angostura bitters","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water.~~~Muddle until dissolved. ~~~Fill the glass with ice cubes and add whiskey. ~~~Garnish with orange twist, and a cocktail cherry.","Before dinner",NA,"Old Fashioned","bitters"
"413","Cocktail","whiskey","On the rocks; poured over ice","Orange twist~~~cocktail cherry","Old Fashioned glass","1 sugar cube","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water.~~~Muddle until dissolved. ~~~Fill the glass with ice cubes and add whiskey. ~~~Garnish with orange twist, and a cocktail cherry.","Before dinner",NA,"Old Fashioned","sugar"
"414","Cocktail","whiskey","On the rocks; poured over ice","Orange twist~~~cocktail cherry","Old Fashioned glass","Few dashes plain water","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water.~~~Muddle until dissolved. ~~~Fill the glass with ice cubes and add whiskey. ~~~Garnish with orange twist, and a cocktail cherry.","Before dinner",NA,"Old Fashioned","plain"
"415","Mixed drink","vodka","straight or with ice",NA,"Highball glass",NA,"add vodka, cream soda, coffee liqueur then orange juice to a highball class",NA,"vodka, Kahlúa, Creme Soda, and orange juice","Orange Tundra","orange juice"
"416","Mixed drink","cream soda, coffee liqueur and orange juice","straight or with ice",NA,"Highball glass",NA,"add vodka, cream soda, coffee liqueur then orange juice to a highball class",NA,"vodka, Kahlúa, Creme Soda, and orange juice","Orange Tundra","orange juice"
"417","Cocktail","irish cream","On the rocks; poured over ice","cherry","Old Fashioned glass",NA,"Build all ingredients over ice in an old fashioned glass or shot glass.",NA,"<U+200B>3/4 oz. Vodka","Orgasm","<U+200B>/  vodka"
"418","Cocktail","irish cream","On the rocks; poured over ice","cherry","Old Fashioned glass",NA,"Build all ingredients over ice in an old fashioned glass or shot glass.",NA,"<U+200B>3/4 oz. Cream","Orgasm","<U+200B>/  cream"
"419","Cocktail","irish cream","On the rocks; poured over ice","cherry","Old Fashioned glass",NA,"Build all ingredients over ice in an old fashioned glass or shot glass.",NA,"<U+200B>3/4 oz. Kahlúa","Orgasm","<U+200B>/  coffee liqueur"
"420","Cocktail","irish cream","On the rocks; poured over ice","cherry","Old Fashioned glass",NA,"Build all ingredients over ice in an old fashioned glass or shot glass.",NA,"<U+200B>3/4 oz.Amaretto","Orgasm","<U+200B>/ amaretto"
"421","Cocktail","irish cream","On the rocks; poured over ice","cherry","Old Fashioned glass",NA,"Build all ingredients over ice in an old fashioned glass or shot glass.",NA,"<U+200B>3/4 oz. Baileys Irish Cream[1]","Orgasm","<U+200B>/  baileys irish cream"
"422","Cocktail","rum","on the rocks","Nutmeg",NA,NA,"Shake and garnish.",NA,"1-4 part(s) Pusser's Rum","Painkiller","rum"
"423","Cocktail","rum","on the rocks","Nutmeg",NA,NA,"Shake and garnish.",NA,"4 parts pineapple juice","Painkiller","pineapple juice"
"424","Cocktail","rum","on the rocks","Nutmeg",NA,NA,"Shake and garnish.",NA,"1 part cream of coconut","Painkiller","cream  coconut"
"425","Cocktail","rum","on the rocks","Nutmeg",NA,NA,"Shake and garnish.",NA,"1 part orange juice","Painkiller","orange juice"
"426","Cocktail","rum","on the rocks","Nutmeg",NA,NA,"Shake and garnish.",NA,"Sprinkle with nutmeg","Painkiller","sprinkle  nutmeg"
"427","Cocktail","tequila","On the rocks; poured over ice","lime wedge","Highball glass",NA,"Stir together and serve over ice.",NA,"One part tequila","Paloma","tequila"
"428","Cocktail","tequila","On the rocks; poured over ice","lime wedge","Highball glass",NA,"Stir together and serve over ice.",NA,"Three parts grapefruit soda","Paloma","three  grapefruit soda"
"429","Cocktail","gin","Straight up; without ice",NA,"Cocktail glass","3.5 cl (7 parts) gin","Shake together over ice.  Strain into cocktail glass and serve chilled.","All Day",NA,"Paradise","gin"
"430","Cocktail","gin","Straight up; without ice",NA,"Cocktail glass","2 cl (4 parts) apricot brandy","Shake together over ice.  Strain into cocktail glass and serve chilled.","All Day",NA,"Paradise","brandy"
"431","Cocktail","gin","Straight up; without ice",NA,"Cocktail glass","1.5 cl (3 parts) orange juice","Shake together over ice.  Strain into cocktail glass and serve chilled.","All Day",NA,"Paradise","orange juice"
"432","Cocktail","pisco","Straight up; without ice","Angostura bitters (1 dash)","Old Fashioned glass","4.5cl Pisco","Vigorously shake contents in a cocktail shaker with ice cubes, then strain into a glass and garnish with bitters.[1]","All Day",NA,"Pisco sour","pisco"
"433","Cocktail","pisco","Straight up; without ice","Angostura bitters (1 dash)","Old Fashioned glass","3cl lime juice","Vigorously shake contents in a cocktail shaker with ice cubes, then strain into a glass and garnish with bitters.[1]","All Day",NA,"Pisco sour","lime juice"
"434","Cocktail","pisco","Straight up; without ice","Angostura bitters (1 dash)","Old Fashioned glass","2cl Simple syrup","Vigorously shake contents in a cocktail shaker with ice cubes, then strain into a glass and garnish with bitters.[1]","All Day",NA,"Pisco sour","syrup"
"435","Cocktail","pisco","Straight up; without ice","Angostura bitters (1 dash)","Old Fashioned glass","1 Egg white","Vigorously shake contents in a cocktail shaker with ice cubes, then strain into a glass and garnish with bitters.[1]","All Day",NA,"Pisco sour","egg white"
"436","Mixed drink","rum","Blended","Pineapple slice and/or maraschino cherry","Poco",NA,NA,NA,NA,"Piña colada",NA
"437","Mixed drink","rum","On the rocks; poured over ice","Cherry and pineapple slice","Highball glass","4.5cl Dark rum","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",NA,NA,"Planter's Punch","rum"
"438","Mixed drink","rum","On the rocks; poured over ice","Cherry and pineapple slice","Highball glass","3.5 cl fresh orange juice","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",NA,NA,"Planter's Punch","orange juice"
"439","Mixed drink","rum","On the rocks; poured over ice","Cherry and pineapple slice","Highball glass","3.5 cl fresh pineapple juice","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",NA,NA,"Planter's Punch","pineapple juice"
"440","Mixed drink","rum","On the rocks; poured over ice","Cherry and pineapple slice","Highball glass","2 cl fresh lemon juice","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",NA,NA,"Planter's Punch","lemon juice"
"441","Mixed drink","rum","On the rocks; poured over ice","Cherry and pineapple slice","Highball glass","1 cl Grenadine syrup","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",NA,NA,"Planter's Punch","syrup"
"442","Mixed drink","rum","On the rocks; poured over ice","Cherry and pineapple slice","Highball glass","1 cl sugar syrup","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",NA,NA,"Planter's Punch","syrup"
"443","Mixed drink","rum","On the rocks; poured over ice","Cherry and pineapple slice","Highball glass","3 or 4 dashes Angostura bitters","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",NA,NA,"Planter's Punch","bitters"
"444","Mixed drink shooter/drink shot","schnapps","blended, on the rocks or neat",NA,NA,NA,NA,NA,NA,"Polar Bear",NA
"445","Mixed drink shooter/drink shot","crème de cacao","blended, on the rocks or neat",NA,NA,NA,NA,NA,NA,"Polar Bear",NA
"446","Cocktail","port","Straight up; without ice","Grated nutmeg","Cocktail glass","1.5 cl (3 parts) brandy","Shake ingredients together in a mixer with ice.  Strain into glass, garnish and serve","After Dinner",NA,"Porto Flip","brandy"
"447","Cocktail","port","Straight up; without ice","Grated nutmeg","Cocktail glass","4.5 cl (9 parts) port","Shake ingredients together in a mixer with ice.  Strain into glass, garnish and serve","After Dinner",NA,"Porto Flip","port"
"448","Cocktail","port","Straight up; without ice","Grated nutmeg","Cocktail glass","1 cl (2 parts) egg yolk","Shake ingredients together in a mixer with ice.  Strain into glass, garnish and serve","After Dinner",NA,"Porto Flip","egg yolk"
"449","Cocktail","brandy","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 parts Brandy","Powerscourt","brandy"
"450","Cocktail","brandy","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 parts Lime juice","Powerscourt","lime juice"
"451","Cocktail","brandy","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"2 part Orange Juice","Powerscourt","orange juice"
"452","Cocktail","brandy","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"2 part Creme de Peche Liqueur","Powerscourt","creme de peche liqueur"
"453","Cocktail","brandy","Straight up; without ice",NA,"Champagne flute",NA,"Blend and then pour into a champagne glass and fill with champagne.",NA,"1 part Lemon Juice","Prince of Wales","lemon juice"
"454","Cocktail","brandy","Straight up; without ice",NA,"Champagne flute",NA,"Blend and then pour into a champagne glass and fill with champagne.",NA,"1 part Cherry Brandy","Prince of Wales","brandy"
"455","Cocktail","brandy","Straight up; without ice",NA,"Champagne flute",NA,"Blend and then pour into a champagne glass and fill with champagne.",NA,"1 Strawberry","Prince of Wales","strawberry"
"456","Cocktail","brandy","Straight up; without ice",NA,"Champagne flute",NA,"Blend and then pour into a champagne glass and fill with champagne.",NA,"1 teaspoon sugar","Prince of Wales","sugar"
"457","Mixed drink","cachaca","rocks x",NA,"Zombie glass",NA,"In a mixing glass, mix sugar and fruit slices and press to juice fruit, add ice, guava juice and cachaça, mix again - pour into tall glass.",NA,"2 parts cachaca","Quentão","cachaca"
"458","Mixed drink","cachaca","rocks x",NA,"Zombie glass",NA,"In a mixing glass, mix sugar and fruit slices and press to juice fruit, add ice, guava juice and cachaça, mix again - pour into tall glass.",NA,"1 slice of each fresh orange, lemon and lime.","Quentão",""
"459","Mixed drink","cachaca","rocks x",NA,"Zombie glass",NA,"In a mixing glass, mix sugar and fruit slices and press to juice fruit, add ice, guava juice and cachaça, mix again - pour into tall glass.",NA,"1 ounce of guava juice.","Quentão","guava juice"
"460","Mixed drink","cachaca","rocks x",NA,"Zombie glass",NA,"In a mixing glass, mix sugar and fruit slices and press to juice fruit, add ice, guava juice and cachaça, mix again - pour into tall glass.",NA,"1 tbsp sugar","Quentão","sugar"
"461","Mixed drink","schnapps","On the rocks; poured over ice",NA,"Rocks glass (double)",NA,"Combine Jägermeister and schnapps in glass full of ice.  Add cranberry juice to fill to top.  Stir as necessary.",NA,"5 cl (one part) Jägermeister","Redheaded slut","jägermeister"
"462","Mixed drink","jägermeister","On the rocks; poured over ice",NA,"Rocks glass (double)",NA,"Combine Jägermeister and schnapps in glass full of ice.  Add cranberry juice to fill to top.  Stir as necessary.",NA,"5 cl (one part) Jägermeister","Redheaded slut","jägermeister"
"463","Mixed drink","schnapps","On the rocks; poured over ice",NA,"Rocks glass (double)",NA,"Combine Jägermeister and schnapps in glass full of ice.  Add cranberry juice to fill to top.  Stir as necessary.",NA,"5 cl (one part) peach schnapps","Redheaded slut","peach schnapps"
"464","Mixed drink","jägermeister","On the rocks; poured over ice",NA,"Rocks glass (double)",NA,"Combine Jägermeister and schnapps in glass full of ice.  Add cranberry juice to fill to top.  Stir as necessary.",NA,"5 cl (one part) peach schnapps","Redheaded slut","peach schnapps"
"465","Mixed drink","schnapps","On the rocks; poured over ice",NA,"Rocks glass (double)",NA,"Combine Jägermeister and schnapps in glass full of ice.  Add cranberry juice to fill to top.  Stir as necessary.",NA,"cranberry juice","Redheaded slut","cranberry juice"
"466","Mixed drink","jägermeister","On the rocks; poured over ice",NA,"Rocks glass (double)",NA,"Combine Jägermeister and schnapps in glass full of ice.  Add cranberry juice to fill to top.  Stir as necessary.",NA,"cranberry juice","Redheaded slut","cranberry juice"
"467","Cocktail","gin","On the rocks; poured over ice","lime half shell","Highball glass",NA,"Combine spirit, lime and shell in a highball or wine glass. Add ice, stir and then add sparkling mineral water.",NA,"2oz bourbon, rye whiskey, or gin","Rickey","gin"
"468","Cocktail","whiskey","On the rocks; poured over ice","lime half shell","Highball glass",NA,"Combine spirit, lime and shell in a highball or wine glass. Add ice, stir and then add sparkling mineral water.",NA,"2oz bourbon, rye whiskey, or gin","Rickey","gin"
"469","Cocktail","gin","On the rocks; poured over ice","lime half shell","Highball glass",NA,"Combine spirit, lime and shell in a highball or wine glass. Add ice, stir and then add sparkling mineral water.",NA,"Half of a lime squeezed and dropped in the glass","Rickey","half   lime   dropped   glass"
"470","Cocktail","whiskey","On the rocks; poured over ice","lime half shell","Highball glass",NA,"Combine spirit, lime and shell in a highball or wine glass. Add ice, stir and then add sparkling mineral water.",NA,"Half of a lime squeezed and dropped in the glass","Rickey","half   lime   dropped   glass"
"471","Cocktail","gin","On the rocks; poured over ice","lime half shell","Highball glass",NA,"Combine spirit, lime and shell in a highball or wine glass. Add ice, stir and then add sparkling mineral water.",NA,"Sparkling mineral water","Rickey","sparkling mineral"
